,상권_구분_코드_명,상권_코드_명,분기당_매출_금액,분기당_매출_건수
389,관광특구,동대문패션타운 관광특구,7140545264.0,1180860.0
390,관광특구,동대문패션타운 관광특구,7550123591.0,1210162.0
391,관광특구,동대문패션타운 관광특구,7810291833.0,1217918.0
392,관광특구,동대문패션타운 관광특구,6176618801.0,986948.0
393,관광특구,동대문패션타운 관광특구,7140545264.0,1180860.0
394,관광특구,동대문패션타운 관광특구,7550123591.0,1210162.0
395,관광특구,동대문패션타운 관광특구,7810291833.0,1217918.0
396,관광특구,동대문패션타운 관광특구,6176618801.0,986948.0
397,관광특구,동대문패션타운 관광특구,7140545264.0,1180860.0
398,관광특구,동대문패션타운 관광특구,7550123591.0,1210162.0
399,관광특구,동대문패션타운 관광특구,7810291833.0,1217918.0
400,관광특구,동대문패션타운 관광특구,6176618801.0,986948.0
401,관광특구,동대문패션타운 관광특구,7140545264.0,1180860.0
402,관광특구,동대문패션타운 관광특구,7550123591.0,1210162.0
403,관광특구,동대문패션타운 관광특구,7810291833.0,1217918.0
404,관광특구,동대문패션타운 관광특구,6176618801.0,986948.0
405,관광특구,동대문패션타운 관광특구,7140545264.0,1180860.0
406,관광특구,동대문패션타운 관광특구,7550123591.0,1210162.0
407,관광특구,동대문패션타운 관광특구,7810291833.0,1217918.0
408,관광특구,동대문패션타운 관광특구,6176618801.0,986948.0
409,관광특구,동대문패션타운 관광특구,7140545264.0,1180860.0
410,관광특구,동대문패션타운 관광특구,7550123591.0,1210162.0
411,관광특구,동대문패션타운 관광특구,7810291833.0,1217918.0
412,관광특구,동대문패션타운 관광특구,6176618801.0,986948.0
413,관광특구,동대문패션타운 관광특구,7140545264.0,1180860.0
414,관광특구,동대문패션타운 관광특구,7550123591.0,1210162.0
415,관광특구,동대문패션타운 관광특구,7810291833.0,1217918.0
416,관광특구,동대문패션타운 관광특구,6176618801.0,986948.0
417,관광특구,동대문패션타운 관광특구,7140545264.0,1180860.0
418,관광특구,동대문패션타운 관광특구,7550123591.0,1210162.0
419,관광특구,동대문패션타운 관광특구,7810291833.0,1217918.0
420,관광특구,동대문패션타운 관광특구,6176618801.0,986948.0
421,관광특구,동대문패션타운 관광특구,7140545264.0,1180860.0
422,관광특구,동대문패션타운 관광특구,7550123591.0,1210162.0
